episode 1 of 100000 complete,  explore val = 0.01, episode reward = 134.0, ave reward = 134.0, sim time = 0.565, fit time = 0.742, episode_time = 1.307
episode 6868 of 100000 complete,  explore val = 0.01, episode reward = 661.9, ave reward = 545.4, sim time = 0.531, fit time = 0.001, episode_time = 0.532
episode 6869 of 100000 complete,  explore val = 0.01, episode reward = 491.4, ave reward = 547.1, sim time = 0.421, fit time = 0.0, episode_time = 0.421
episode 6870 of 100000 complete,  explore val = 0.01, episode reward = 1297.1, ave reward = 547.8, sim time = 0.563, fit time = 0.0, episode_time = 0.563
episode 6871 of 100000 complete,  explore val = 0.01, episode reward = 219.8, ave reward = 557.9, sim time = 0.317, fit time = 11.073, episode_time = 11.391
episode 6872 of 100000 complete,  explore val = 0.01, episode reward = 861.4, ave reward = 551.8, sim time = 0.503, fit time = 0.0, episode_time = 0.503
episode 6873 of 100000 complete,  explore val = 0.01, episode reward = 472.2, ave reward = 558.7, sim time = 0.407, fit time = 0.0, episode_time = 0.407
episode 6874 of 100000 complete,  explore val = 0.01, episode reward = 324.3, ave reward = 562.4, sim time = 0.354, fit time = 0.0, episode_time = 0.354
episode 6875 of 100000 complete,  explore val = 0.01, episode reward = 428.9, ave reward = 561.3, sim time = 0.497, fit time = 0.0, episode_time = 0.497
episode 6876 of 100000 complete,  explore val = 0.01, episode reward = 2071.6, ave reward = 562.0, sim time = 0.661, fit time = 0.0, episode_time = 0.661
episode 6877 of 100000 complete,  explore val = 0.01, episode reward = 706.6, ave reward = 569.2, sim time = 0.49, fit time = 0.0, episode_time = 0.49
episode 6878 of 100000 complete,  explore val = 0.01, episode reward = 635.4, ave reward = 568.6, sim time = 0.455, fit time = 0.0, episode_time = 0.455
episode 6879 of 100000 complete,  explore val = 0.01, episode reward = 362.4, ave reward = 574.5, sim time = 0.349, fit time = 0.0, episode_time = 0.349
episode 6880 of 100000 complete,  explore val = 0.01, episode reward = 670.1, ave reward = 575.7, sim time = 0.444, fit time = 0.0, episode_time = 0.444
episode 6881 of 100000 complete,  explore val = 0.01, episode reward = 223.9, ave reward = 579.7, sim time = 0.341, fit time = 11.415, episode_time = 11.757
episode 6882 of 100000 complete,  explore val = 0.01, episode reward = 76.0, ave reward = 572.2, sim time = 0.302, fit time = 0.0, episode_time = 0.303
episode 6883 of 100000 complete,  explore val = 0.01, episode reward = 991.4, ave reward = 564.3, sim time = 0.506, fit time = 0.0, episode_time = 0.506
episode 6884 of 100000 complete,  explore val = 0.01, episode reward = 262.5, ave reward = 575.5, sim time = 0.333, fit time = 0.0, episode_time = 0.333
episode 6885 of 100000 complete,  explore val = 0.01, episode reward = 177.4, ave reward = 566.3, sim time = 0.31, fit time = 0.0, episode_time = 0.31
episode 6886 of 100000 complete,  explore val = 0.01, episode reward = 410.7, ave reward = 565.8, sim time = 0.407, fit time = 0.0, episode_time = 0.406
episode 6887 of 100000 complete,  explore val = 0.01, episode reward = 508.9, ave reward = 567.3, sim time = 0.404, fit time = 0.0, episode_time = 0.404
episode 6888 of 100000 complete,  explore val = 0.01, episode reward = 94.9, ave reward = 570.0, sim time = 0.256, fit time = 0.0, episode_time = 0.256
episode 6889 of 100000 complete,  explore val = 0.01, episode reward = 309.8, ave reward = 569.6, sim time = 0.302, fit time = 0.0, episode_time = 0.302
episode 6890 of 100000 complete,  explore val = 0.01, episode reward = 110.0, ave reward = 571.2, sim time = 0.32, fit time = 0.0, episode_time = 0.32
episode 6891 of 100000 complete,  explore val = 0.01, episode reward = 348.2, ave reward = 567.4, sim time = 0.382, fit time = 9.444, episode_time = 9.826
episode 6892 of 100000 complete,  explore val = 0.01, episode reward = 214.9, ave reward = 568.7, sim time = 0.316, fit time = 0.0, episode_time = 0.316
episode 6893 of 100000 complete,  explore val = 0.01, episode reward = -109.1, ave reward = 564.0, sim time = 0.28, fit time = 0.0, episode_time = 0.279
episode 6894 of 100000 complete,  explore val = 0.01, episode reward = 185.9, ave reward = 554.4, sim time = 0.242, fit time = 0.0, episode_time = 0.242
episode 6895 of 100000 complete,  explore val = 0.01, episode reward = -218.5, ave reward = 551.9, sim time = 0.288, fit time = 0.0, episode_time = 0.288
episode 6896 of 100000 complete,  explore val = 0.01, episode reward = 16.8, ave reward = 538.4, sim time = 0.298, fit time = 0.0, episode_time = 0.298
episode 6897 of 100000 complete,  explore val = 0.01, episode reward = 674.3, ave reward = 531.8, sim time = 0.371, fit time = 0.0, episode_time = 0.371
episode 6898 of 100000 complete,  explore val = 0.01, episode reward = 399.8, ave reward = 532.7, sim time = 0.299, fit time = 0.0, episode_time = 0.299
episode 6899 of 100000 complete,  explore val = 0.01, episode reward = 543.0, ave reward = 532.6, sim time = 0.4, fit time = 0.0, episode_time = 0.4
episode 6900 of 100000 complete,  explore val = 0.01, episode reward = 177.6, ave reward = 535.7, sim time = 0.254, fit time = 0.0, episode_time = 0.254
episode 6901 of 100000 complete,  explore val = 0.01, episode reward = 214.6, ave reward = 526.5, sim time = 0.294, fit time = 7.885, episode_time = 8.179
episode 6902 of 100000 complete,  explore val = 0.01, episode reward = -13.2, ave reward = 523.4, sim time = 0.367, fit time = 0.0, episode_time = 0.367
episode 6903 of 100000 complete,  explore val = 0.01, episode reward = 532.4, ave reward = 513.9, sim time = 0.397, fit time = 0.0, episode_time = 0.397
episode 6904 of 100000 complete,  explore val = 0.01, episode reward = 187.6, ave reward = 507.0, sim time = 0.265, fit time = 0.0, episode_time = 0.265
episode 6905 of 100000 complete,  explore val = 0.01, episode reward = 202.9, ave reward = 497.9, sim time = 0.334, fit time = 0.0, episode_time = 0.334
episode 6906 of 100000 complete,  explore val = 0.01, episode reward = 313.1, ave reward = 495.3, sim time = 0.432, fit time = 0.0, episode_time = 0.432
episode 6907 of 100000 complete,  explore val = 0.01, episode reward = 710.5, ave reward = 494.1, sim time = 0.468, fit time = 0.0, episode_time = 0.468
episode 6908 of 100000 complete,  explore val = 0.01, episode reward = 634.5, ave reward = 496.4, sim time = 0.486, fit time = 0.0, episode_time = 0.486
episode 6909 of 100000 complete,  explore val = 0.01, episode reward = 923.5, ave reward = 499.3, sim time = 0.475, fit time = 0.0, episode_time = 0.474
episode 6910 of 100000 complete,  explore val = 0.01, episode reward = 538.9, ave reward = 506.5, sim time = 0.497, fit time = 0.0, episode_time = 0.497
episode 6911 of 100000 complete,  explore val = 0.01, episode reward = 1429.9, ave reward = 501.8, sim time = 0.55, fit time = 9.887, episode_time = 10.436
episode 6912 of 100000 complete,  explore val = 0.01, episode reward = 505.5, ave reward = 511.6, sim time = 0.478, fit time = 0.0, episode_time = 0.478
episode 6913 of 100000 complete,  explore val = 0.01, episode reward = 248.0, ave reward = 513.7, sim time = 0.307, fit time = 0.0, episode_time = 0.307
episode 6914 of 100000 complete,  explore val = 0.01, episode reward = 314.1, ave reward = 507.8, sim time = 0.376, fit time = 0.0, episode_time = 0.376
episode 6915 of 100000 complete,  explore val = 0.01, episode reward = 114.1, ave reward = 503.0, sim time = 0.303, fit time = 0.0, episode_time = 0.303
episode 6916 of 100000 complete,  explore val = 0.01, episode reward = 1018.4, ave reward = 500.3, sim time = 0.464, fit time = 0.0, episode_time = 0.464
episode 6917 of 100000 complete,  explore val = 0.01, episode reward = 408.0, ave reward = 499.8, sim time = 0.429, fit time = 0.0, episode_time = 0.429
episode 6918 of 100000 complete,  explore val = 0.01, episode reward = 383.2, ave reward = 502.5, sim time = 0.335, fit time = 0.0, episode_time = 0.335
episode 6919 of 100000 complete,  explore val = 0.01, episode reward = 436.8, ave reward = 499.2, sim time = 0.388, fit time = 0.0, episode_time = 0.389
episode 6920 of 100000 complete,  explore val = 0.01, episode reward = 1549.2, ave reward = 496.6, sim time = 0.641, fit time = 0.0, episode_time = 0.641
episode 6921 of 100000 complete,  explore val = 0.01, episode reward = 173.9, ave reward = 508.2, sim time = 0.27, fit time = 10.963, episode_time = 11.233
episode 6922 of 100000 complete,  explore val = 0.01, episode reward = 538.7, ave reward = 507.3, sim time = 0.458, fit time = 0.0, episode_time = 0.458
episode 6923 of 100000 complete,  explore val = 0.01, episode reward = 1485.0, ave reward = 508.8, sim time = 0.577, fit time = 0.0, episode_time = 0.577
episode 6924 of 100000 complete,  explore val = 0.01, episode reward = 102.2, ave reward = 514.0, sim time = 0.271, fit time = 0.0, episode_time = 0.271
episode 6925 of 100000 complete,  explore val = 0.01, episode reward = 331.6, ave reward = 514.5, sim time = 0.356, fit time = 0.0, episode_time = 0.356
episode 6926 of 100000 complete,  explore val = 0.01, episode reward = 1176.5, ave reward = 510.2, sim time = 0.543, fit time = 0.0, episode_time = 0.543
episode 6927 of 100000 complete,  explore val = 0.01, episode reward = 467.2, ave reward = 516.3, sim time = 0.401, fit time = 0.0, episode_time = 0.401
episode 6928 of 100000 complete,  explore val = 0.01, episode reward = 230.4, ave reward = 518.3, sim time = 0.357, fit time = 0.0, episode_time = 0.357
episode 6929 of 100000 complete,  explore val = 0.01, episode reward = 990.9, ave reward = 517.3, sim time = 0.552, fit time = 0.0, episode_time = 0.552
episode 6930 of 100000 complete,  explore val = 0.01, episode reward = 519.9, ave reward = 522.0, sim time = 0.46, fit time = 0.0, episode_time = 0.46
episode 6931 of 100000 complete,  explore val = 0.01, episode reward = -156.2, ave reward = 523.5, sim time = 0.373, fit time = 10.79, episode_time = 11.163
episode 6932 of 100000 complete,  explore val = 0.01, episode reward = -121.1, ave reward = 512.4, sim time = 0.317, fit time = 0.0, episode_time = 0.317
episode 6933 of 100000 complete,  explore val = 0.01, episode reward = 1300.9, ave reward = 501.7, sim time = 0.512, fit time = 0.0, episode_time = 0.512
episode 6934 of 100000 complete,  explore val = 0.01, episode reward = 520.1, ave reward = 501.4, sim time = 0.447, fit time = 0.0, episode_time = 0.447
episode 6935 of 100000 complete,  explore val = 0.01, episode reward = 141.9, ave reward = 503.5, sim time = 0.344, fit time = 0.0, episode_time = 0.344
episode 6936 of 100000 complete,  explore val = 0.01, episode reward = 229.9, ave reward = 497.7, sim time = 0.31, fit time = 0.0, episode_time = 0.31
episode 6937 of 100000 complete,  explore val = 0.01, episode reward = 1188.4, ave reward = 500.7, sim time = 0.501, fit time = 0.0, episode_time = 0.501
episode 6938 of 100000 complete,  explore val = 0.01, episode reward = 226.6, ave reward = 507.7, sim time = 0.358, fit time = 0.0, episode_time = 0.358
episode 6939 of 100000 complete,  explore val = 0.01, episode reward = 826.1, ave reward = 493.2, sim time = 0.454, fit time = 0.0, episode_time = 0.454
episode 6940 of 100000 complete,  explore val = 0.01, episode reward = 167.6, ave reward = 490.4, sim time = 0.274, fit time = 0.0, episode_time = 0.275
episode 6941 of 100000 complete,  explore val = 0.01, episode reward = 19.0, ave reward = 490.0, sim time = 0.367, fit time = 10.085, episode_time = 10.452
episode 6942 of 100000 complete,  explore val = 0.01, episode reward = 474.6, ave reward = 477.3, sim time = 0.403, fit time = 0.0, episode_time = 0.403
episode 6943 of 100000 complete,  explore val = 0.01, episode reward = 153.6, ave reward = 480.0, sim time = 0.386, fit time = 0.0, episode_time = 0.386
episode 6944 of 100000 complete,  explore val = 0.01, episode reward = 952.0, ave reward = 476.1, sim time = 0.535, fit time = 0.0, episode_time = 0.535
episode 6945 of 100000 complete,  explore val = 0.01, episode reward = 808.0, ave reward = 483.0, sim time = 0.453, fit time = 0.0, episode_time = 0.453
episode 6946 of 100000 complete,  explore val = 0.01, episode reward = 1072.0, ave reward = 486.0, sim time = 0.593, fit time = 0.0, episode_time = 0.593
episode 6947 of 100000 complete,  explore val = 0.01, episode reward = 410.8, ave reward = 493.9, sim time = 0.434, fit time = 0.0, episode_time = 0.434
episode 6948 of 100000 complete,  explore val = 0.01, episode reward = 128.5, ave reward = 496.5, sim time = 0.358, fit time = 0.0, episode_time = 0.358
episode 6949 of 100000 complete,  explore val = 0.01, episode reward = 1038.6, ave reward = 500.9, sim time = 0.506, fit time = 0.0, episode_time = 0.506
episode 6950 of 100000 complete,  explore val = 0.01, episode reward = 128.4, ave reward = 496.7, sim time = 0.467, fit time = 0.0, episode_time = 0.467
episode 6951 of 100000 complete,  explore val = 0.01, episode reward = 2.3, ave reward = 495.9, sim time = 0.342, fit time = 11.0, episode_time = 11.342
episode 6952 of 100000 complete,  explore val = 0.01, episode reward = 438.0, ave reward = 477.0, sim time = 0.351, fit time = 0.0, episode_time = 0.351
episode 6953 of 100000 complete,  explore val = 0.01, episode reward = 848.0, ave reward = 476.4, sim time = 0.446, fit time = 0.0, episode_time = 0.446
episode 6954 of 100000 complete,  explore val = 0.01, episode reward = -98.2, ave reward = 478.5, sim time = 0.31, fit time = 0.0, episode_time = 0.31
episode 6955 of 100000 complete,  explore val = 0.01, episode reward = 714.3, ave reward = 475.5, sim time = 0.425, fit time = 0.0, episode_time = 0.425
episode 6956 of 100000 complete,  explore val = 0.01, episode reward = 396.1, ave reward = 479.4, sim time = 0.346, fit time = 0.0, episode_time = 0.346
episode 6957 of 100000 complete,  explore val = 0.01, episode reward = 641.4, ave reward = 483.9, sim time = 0.37, fit time = 0.0, episode_time = 0.37
episode 6958 of 100000 complete,  explore val = 0.01, episode reward = 547.2, ave reward = 487.2, sim time = 0.397, fit time = 0.0, episode_time = 0.397
episode 6959 of 100000 complete,  explore val = 0.01, episode reward = 573.9, ave reward = 488.6, sim time = 0.413, fit time = 0.0, episode_time = 0.413
episode 6960 of 100000 complete,  explore val = 0.01, episode reward = 385.6, ave reward = 490.7, sim time = 0.368, fit time = 0.0, episode_time = 0.368
episode 6961 of 100000 complete,  explore val = 0.01, episode reward = 169.0, ave reward = 490.2, sim time = 0.279, fit time = 9.935, episode_time = 10.215
episode 6962 of 100000 complete,  explore val = 0.01, episode reward = 163.5, ave reward = 488.2, sim time = 0.371, fit time = 0.0, episode_time = 0.371
episode 6963 of 100000 complete,  explore val = 0.01, episode reward = 532.0, ave reward = 486.8, sim time = 0.412, fit time = 0.0, episode_time = 0.412
episode 6964 of 100000 complete,  explore val = 0.01, episode reward = 482.0, ave reward = 483.2, sim time = 0.437, fit time = 0.0, episode_time = 0.437
episode 6965 of 100000 complete,  explore val = 0.01, episode reward = 189.4, ave reward = 487.5, sim time = 0.34, fit time = 0.0, episode_time = 0.34
episode 6966 of 100000 complete,  explore val = 0.01, episode reward = 663.5, ave reward = 483.2, sim time = 0.43, fit time = 0.0, episode_time = 0.43
episode 6967 of 100000 complete,  explore val = 0.01, episode reward = 260.4, ave reward = 480.9, sim time = 0.332, fit time = 0.0, episode_time = 0.332
episode 6968 of 100000 complete,  explore val = 0.01, episode reward = 1113.2, ave reward = 476.9, sim time = 0.5, fit time = 0.0, episode_time = 0.5
episode 6969 of 100000 complete,  explore val = 0.01, episode reward = 1025.7, ave reward = 481.4, sim time = 0.502, fit time = 0.0, episode_time = 0.502
episode 6970 of 100000 complete,  explore val = 0.01, episode reward = 507.1, ave reward = 486.7, sim time = 0.42, fit time = 0.0, episode_time = 0.42
episode 6971 of 100000 complete,  explore val = 0.01, episode reward = 306.2, ave reward = 478.8, sim time = 0.339, fit time = 10.021, episode_time = 10.36
episode 6972 of 100000 complete,  explore val = 0.01, episode reward = 457.6, ave reward = 479.7, sim time = 0.403, fit time = 0.0, episode_time = 0.403
episode 6973 of 100000 complete,  explore val = 0.01, episode reward = 277.1, ave reward = 475.7, sim time = 0.307, fit time = 0.0, episode_time = 0.307
episode 6974 of 100000 complete,  explore val = 0.01, episode reward = 225.7, ave reward = 473.7, sim time = 0.368, fit time = 0.0, episode_time = 0.368
episode 6975 of 100000 complete,  explore val = 0.01, episode reward = 573.1, ave reward = 472.7, sim time = 0.485, fit time = 0.0, episode_time = 0.485
episode 6976 of 100000 complete,  explore val = 0.01, episode reward = 255.3, ave reward = 474.2, sim time = 0.321, fit time = 0.0, episode_time = 0.321
episode 6977 of 100000 complete,  explore val = 0.01, episode reward = 1143.6, ave reward = 456.0, sim time = 0.539, fit time = 0.0, episode_time = 0.539
episode 6978 of 100000 complete,  explore val = 0.01, episode reward = 264.5, ave reward = 460.4, sim time = 0.329, fit time = 0.0, episode_time = 0.329
episode 6979 of 100000 complete,  explore val = 0.01, episode reward = 1325.9, ave reward = 456.7, sim time = 0.554, fit time = 0.0, episode_time = 0.554
episode 6980 of 100000 complete,  explore val = 0.01, episode reward = 592.7, ave reward = 466.3, sim time = 0.466, fit time = 0.0, episode_time = 0.466
episode 6981 of 100000 complete,  explore val = 0.01, episode reward = 661.4, ave reward = 465.5, sim time = 0.457, fit time = 10.671, episode_time = 11.128
episode 6982 of 100000 complete,  explore val = 0.01, episode reward = 581.9, ave reward = 469.9, sim time = 0.437, fit time = 0.0, episode_time = 0.437
episode 6983 of 100000 complete,  explore val = 0.01, episode reward = 594.4, ave reward = 475.0, sim time = 0.403, fit time = 0.0, episode_time = 0.403
episode 6984 of 100000 complete,  explore val = 0.01, episode reward = 198.2, ave reward = 471.0, sim time = 0.299, fit time = 0.0, episode_time = 0.299
episode 6985 of 100000 complete,  explore val = 0.01, episode reward = 332.2, ave reward = 470.3, sim time = 0.329, fit time = 0.0, episode_time = 0.329
episode 6986 of 100000 complete,  explore val = 0.01, episode reward = 337.9, ave reward = 471.9, sim time = 0.392, fit time = 0.0, episode_time = 0.392
episode 6987 of 100000 complete,  explore val = 0.01, episode reward = 195.6, ave reward = 471.2, sim time = 0.279, fit time = 0.0, episode_time = 0.279
episode 6988 of 100000 complete,  explore val = 0.01, episode reward = 847.1, ave reward = 468.0, sim time = 0.489, fit time = 0.0, episode_time = 0.489
episode 6989 of 100000 complete,  explore val = 0.01, episode reward = 380.1, ave reward = 475.6, sim time = 0.451, fit time = 0.0, episode_time = 0.451
episode 6990 of 100000 complete,  explore val = 0.01, episode reward = 166.4, ave reward = 476.3, sim time = 0.293, fit time = 0.0, episode_time = 0.293
episode 6991 of 100000 complete,  explore val = 0.01, episode reward = 681.7, ave reward = 476.8, sim time = 0.416, fit time = 10.465, episode_time = 10.881
episode 6992 of 100000 complete,  explore val = 0.01, episode reward = 341.9, ave reward = 480.2, sim time = 0.351, fit time = 0.0, episode_time = 0.351
episode 6993 of 100000 complete,  explore val = 0.01, episode reward = 1087.6, ave reward = 481.4, sim time = 0.503, fit time = 0.0, episode_time = 0.503
episode 6994 of 100000 complete,  explore val = 0.01, episode reward = 103.2, ave reward = 493.4, sim time = 0.343, fit time = 0.0, episode_time = 0.343
episode 6995 of 100000 complete,  explore val = 0.01, episode reward = -201.5, ave reward = 492.6, sim time = 0.216, fit time = 0.0, episode_time = 0.216
episode 6996 of 100000 complete,  explore val = 0.01, episode reward = 1051.3, ave reward = 492.7, sim time = 0.455, fit time = 0.0, episode_time = 0.454
episode 6997 of 100000 complete,  explore val = 0.01, episode reward = 839.2, ave reward = 503.1, sim time = 0.451, fit time = 0.0, episode_time = 0.451
episode 6998 of 100000 complete,  explore val = 0.01, episode reward = 275.8, ave reward = 504.7, sim time = 0.314, fit time = 0.0, episode_time = 0.313
episode 6999 of 100000 complete,  explore val = 0.01, episode reward = 502.2, ave reward = 503.5, sim time = 0.383, fit time = 0.0, episode_time = 0.383
episode 7000 of 100000 complete,  explore val = 0.01, episode reward = -101.8, ave reward = 503.1, sim time = 0.322, fit time = 0.0, episode_time = 0.322
episode 7001 of 100000 complete,  explore val = 0.01, episode reward = 812.6, ave reward = 500.3, sim time = 0.432, fit time = 9.76, episode_time = 10.193
episode 7002 of 100000 complete,  explore val = 0.01, episode reward = 385.8, ave reward = 506.3, sim time = 0.415, fit time = 0.0, episode_time = 0.415
episode 7003 of 100000 complete,  explore val = 0.01, episode reward = 624.1, ave reward = 510.3, sim time = 0.422, fit time = 0.0, episode_time = 0.422
episode 7004 of 100000 complete,  explore val = 0.01, episode reward = 545.7, ave reward = 511.2, sim time = 0.419, fit time = 0.0, episode_time = 0.419
episode 7005 of 100000 complete,  explore val = 0.01, episode reward = 459.1, ave reward = 514.8, sim time = 0.504, fit time = 0.0, episode_time = 0.504
episode 7006 of 100000 complete,  explore val = 0.01, episode reward = 422.7, ave reward = 517.3, sim time = 0.442, fit time = 0.0, episode_time = 0.442
episode 7007 of 100000 complete,  explore val = 0.01, episode reward = 586.3, ave reward = 518.4, sim time = 0.412, fit time = 0.0, episode_time = 0.412
episode 7008 of 100000 complete,  explore val = 0.01, episode reward = 674.4, ave reward = 517.2, sim time = 0.455, fit time = 0.0, episode_time = 0.455
episode 7009 of 100000 complete,  explore val = 0.01, episode reward = 158.5, ave reward = 517.6, sim time = 0.315, fit time = 0.0, episode_time = 0.315
episode 7010 of 100000 complete,  explore val = 0.01, episode reward = 287.0, ave reward = 509.9, sim time = 0.331, fit time = 0.0, episode_time = 0.331
episode 7011 of 100000 complete,  explore val = 0.01, episode reward = 378.2, ave reward = 507.4, sim time = 0.38, fit time = 10.126, episode_time = 10.506
episode 7012 of 100000 complete,  explore val = 0.01, episode reward = 399.2, ave reward = 496.9, sim time = 0.49, fit time = 0.0, episode_time = 0.49
episode 7013 of 100000 complete,  explore val = 0.01, episode reward = 632.3, ave reward = 495.8, sim time = 0.452, fit time = 0.0, episode_time = 0.452
episode 7014 of 100000 complete,  explore val = 0.01, episode reward = 177.8, ave reward = 499.7, sim time = 0.307, fit time = 0.0, episode_time = 0.307
episode 7015 of 100000 complete,  explore val = 0.01, episode reward = 844.9, ave reward = 498.3, sim time = 0.507, fit time = 0.0, episode_time = 0.507
episode 7016 of 100000 complete,  explore val = 0.01, episode reward = 374.9, ave reward = 505.6, sim time = 0.404, fit time = 0.0, episode_time = 0.404
episode 7017 of 100000 complete,  explore val = 0.01, episode reward = 234.8, ave reward = 499.2, sim time = 0.324, fit time = 0.0, episode_time = 0.324
episode 7018 of 100000 complete,  explore val = 0.01, episode reward = -10.4, ave reward = 497.4, sim time = 0.424, fit time = 0.0, episode_time = 0.424
episode 7019 of 100000 complete,  explore val = 0.01, episode reward = 113.6, ave reward = 493.5, sim time = 0.438, fit time = 0.0, episode_time = 0.438
episode 7020 of 100000 complete,  explore val = 0.01, episode reward = 1273.6, ave reward = 490.3, sim time = 0.586, fit time = 0.0, episode_time = 0.586
episode 7021 of 100000 complete,  explore val = 0.01, episode reward = 174.9, ave reward = 487.5, sim time = 0.276, fit time = 10.355, episode_time = 10.632
episode 7022 of 100000 complete,  explore val = 0.01, episode reward = 1458.1, ave reward = 487.5, sim time = 0.567, fit time = 0.0, episode_time = 0.568
episode 7023 of 100000 complete,  explore val = 0.01, episode reward = 1348.9, ave reward = 496.7, sim time = 0.552, fit time = 0.0, episode_time = 0.552
episode 7024 of 100000 complete,  explore val = 0.01, episode reward = 194.3, ave reward = 495.4, sim time = 0.4, fit time = 0.0, episode_time = 0.4
episode 7025 of 100000 complete,  explore val = 0.01, episode reward = 310.8, ave reward = 496.3, sim time = 0.365, fit time = 0.0, episode_time = 0.365
episode 7026 of 100000 complete,  explore val = 0.01, episode reward = 347.1, ave reward = 496.1, sim time = 0.367, fit time = 0.0, episode_time = 0.367
episode 7027 of 100000 complete,  explore val = 0.01, episode reward = 661.8, ave reward = 487.8, sim time = 0.464, fit time = 0.0, episode_time = 0.464
episode 7028 of 100000 complete,  explore val = 0.01, episode reward = 1325.3, ave reward = 489.7, sim time = 0.55, fit time = 0.0, episode_time = 0.55
episode 7029 of 100000 complete,  explore val = 0.01, episode reward = 425.0, ave reward = 500.7, sim time = 0.372, fit time = 0.0, episode_time = 0.372
episode 7030 of 100000 complete,  explore val = 0.01, episode reward = 751.9, ave reward = 495.0, sim time = 0.57, fit time = 0.0, episode_time = 0.57
episode 7031 of 100000 complete,  explore val = 0.01, episode reward = 828.2, ave reward = 497.3, sim time = 0.504, fit time = 11.438, episode_time = 11.942
episode 7032 of 100000 complete,  explore val = 0.01, episode reward = 606.8, ave reward = 507.2, sim time = 0.498, fit time = 0.0, episode_time = 0.498
episode 7033 of 100000 complete,  explore val = 0.01, episode reward = 113.0, ave reward = 514.5, sim time = 0.359, fit time = 0.0, episode_time = 0.359
episode 7034 of 100000 complete,  explore val = 0.01, episode reward = 197.5, ave reward = 502.6, sim time = 0.434, fit time = 0.0, episode_time = 0.434
episode 7035 of 100000 complete,  explore val = 0.01, episode reward = 638.9, ave reward = 499.4, sim time = 0.41, fit time = 0.0, episode_time = 0.41
episode 7036 of 100000 complete,  explore val = 0.01, episode reward = 448.6, ave reward = 504.3, sim time = 0.395, fit time = 0.0, episode_time = 0.395
episode 7037 of 100000 complete,  explore val = 0.01, episode reward = -98.7, ave reward = 506.5, sim time = 0.342, fit time = 0.0, episode_time = 0.342
episode 7038 of 100000 complete,  explore val = 0.01, episode reward = 309.0, ave reward = 493.6, sim time = 0.368, fit time = 0.0, episode_time = 0.368
episode 7039 of 100000 complete,  explore val = 0.01, episode reward = 281.2, ave reward = 494.5, sim time = 0.406, fit time = 0.0, episode_time = 0.407
episode 7040 of 100000 complete,  explore val = 0.01, episode reward = 389.4, ave reward = 489.0, sim time = 0.466, fit time = 0.0, episode_time = 0.466
episode 7041 of 100000 complete,  explore val = 0.01, episode reward = 316.7, ave reward = 491.2, sim time = 0.47, fit time = 11.218, episode_time = 11.688
episode 7042 of 100000 complete,  explore val = 0.01, episode reward = 230.6, ave reward = 494.2, sim time = 0.332, fit time = 0.0, episode_time = 0.332
episode 7043 of 100000 complete,  explore val = 0.01, episode reward = -213.1, ave reward = 491.8, sim time = 0.378, fit time = 0.0, episode_time = 0.378
episode 7044 of 100000 complete,  explore val = 0.01, episode reward = 303.5, ave reward = 488.1, sim time = 0.379, fit time = 0.0, episode_time = 0.379
episode 7045 of 100000 complete,  explore val = 0.01, episode reward = 156.7, ave reward = 481.6, sim time = 0.27, fit time = 0.0, episode_time = 0.27
episode 7046 of 100000 complete,  explore val = 0.01, episode reward = 775.9, ave reward = 475.1, sim time = 0.439, fit time = 0.0, episode_time = 0.439
episode 7047 of 100000 complete,  explore val = 0.01, episode reward = 267.1, ave reward = 472.1, sim time = 0.276, fit time = 0.0, episode_time = 0.276
episode 7048 of 100000 complete,  explore val = 0.01, episode reward = 1189.7, ave reward = 470.7, sim time = 0.46, fit time = 0.0, episode_time = 0.46
episode 7049 of 100000 complete,  explore val = 0.01, episode reward = -6.1, ave reward = 481.3, sim time = 0.191, fit time = 0.0, episode_time = 0.191
episode 7050 of 100000 complete,  explore val = 0.01, episode reward = 184.6, ave reward = 470.9, sim time = 0.4, fit time = 0.0, episode_time = 0.4
episode 7051 of 100000 complete,  explore val = 0.01, episode reward = 88.6, ave reward = 471.4, sim time = 0.24, fit time = 9.206, episode_time = 9.447
episode 7052 of 100000 complete,  explore val = 0.01, episode reward = 279.2, ave reward = 472.3, sim time = 0.363, fit time = 0.0, episode_time = 0.363
episode 7053 of 100000 complete,  explore val = 0.01, episode reward = 1896.7, ave reward = 470.7, sim time = 0.609, fit time = 0.0, episode_time = 0.609
episode 7054 of 100000 complete,  explore val = 0.01, episode reward = 473.0, ave reward = 481.2, sim time = 0.398, fit time = 0.0, episode_time = 0.398
episode 7055 of 100000 complete,  explore val = 0.01, episode reward = 677.3, ave reward = 486.9, sim time = 0.486, fit time = 0.0, episode_time = 0.486
episode 7056 of 100000 complete,  explore val = 0.01, episode reward = 174.8, ave reward = 486.5, sim time = 0.296, fit time = 0.0, episode_time = 0.296
episode 7057 of 100000 complete,  explore val = 0.01, episode reward = 422.5, ave reward = 484.3, sim time = 0.398, fit time = 0.0, episode_time = 0.398
episode 7058 of 100000 complete,  explore val = 0.01, episode reward = 572.3, ave reward = 482.1, sim time = 0.441, fit time = 0.0, episode_time = 0.441
episode 7059 of 100000 complete,  explore val = 0.01, episode reward = 173.7, ave reward = 482.4, sim time = 0.417, fit time = 0.0, episode_time = 0.417
episode 7060 of 100000 complete,  explore val = 0.01, episode reward = 785.1, ave reward = 478.4, sim time = 0.515, fit time = 0.0, episode_time = 0.515
